Nome,Posição,Naturalidade,Clube,Idade
Robert Sanchez,Goleiro,Spain,Chelsea FC,25
Djordje Petrovic,Goleiro,Serbia,Chelsea FC,24
Marcus Bettinelli,Goleiro,England,Chelsea FC,31
Lucas Bergstrom,Goleiro,Finland,Chelsea FC,21
Levi Colwill,Zagueiro,England,Chelsea FC,20
Axel Disasi,Zagueiro,France,Chelsea FC,25
Benoit Badiashile,Zagueiro,France,Chelsea FC,22
Wesley Fofana,Zagueiro,France,Chelsea FC,22
Trevoh Chalobah,Zagueiro,England,Chelsea FC,24
Malang Sarr,Zagueiro,France,Chelsea FC,24
Thiago Silva,Zagueiro,Brazil,Chelsea FC,39
Ben Chilwell,Lateral esquerdo,England,Chelsea FC,26
Marc Cucurella,Lateral esquerdo,Spain,Chelsea FC,25
Ian Maatsen,Lateral esquerdo,Netherlands,Chelsea FC,21
Reece James,Lateral direito,England,Chelsea FC,23
Malo Gusto,Lateral direito,France,Chelsea FC,20
Moises Caicedo,Volante,Ecuador,Chelsea FC,21
Romeo Lavia,Volante,Belgium,Chelsea FC,19
Lesley Ugochukwu,Volante,France,Chelsea FC,19
Enzo Fernandez,Meia,Argentina,Chelsea FC,22
Conor Gallagher,Meia,England,Chelsea FC,23
Carney Chukwuemeka,Meia,England,Chelsea FC,20
Christopher Nkunku,Meia atacante,France,Chelsea FC,25
Cole Palmer,Meia atacante,England,Chelsea FC,21
Raheem Sterling,Meia esquerdo,England,Chelsea FC,28
Mykhaylo Mudryk,Meia esquerdo,Ukraine,Chelsea FC,22
Noni Madueke,Meia direito,England,Chelsea FC,21
Nicolas Jackson,Centroavante,Senegal,Chelsea FC,22
Armando Broja,Centroavante,Albania,Chelsea FC,22
Deivid Washington,Centroavante,Brazil,Chelsea FC,18
Ederson,Goleiro,Brazil,Manchester City,30
Stefan Ortega,Goleiro,Germany,Manchester City,30
Zack Steffen,Goleiro,United States,Manchester City,28
Scott Carson,Goleiro,England,Manchester City,38
Ruben Dias,Zagueiro,Portugal,Manchester City,26
Josko Gvardiol,Zagueiro,Croatia,Manchester City,21
Nathan Ake,Zagueiro,Netherlands,Manchester City,28
John Stones,Zagueiro,England,Manchester City,29
Manuel Akanji,Zagueiro,Switzerland,Manchester City,28
Sergio Gomez,Lateral esquerdo,Spain,Manchester City,23
Rico Lewis,Lateral direito,England,Manchester City,18
Kyle Walker,Lateral direito,England,Manchester City,33
Rodri,Volante,Spain,Manchester City,27
Kalvin Phillips,Volante,England,Manchester City,27
Matheus Nunes,Meia,Portugal,Manchester City,25
Mateo Kovacic,Meia,Croatia,Manchester City,29
Bernardo Silva,Meia atacante,Portugal,Manchester City,29
Kevin De Bruyne,Meia atacante,Belgium,Manchester City,32
Phil Foden,Meia esquerdo,England,Manchester City,23
Jack Grealish,Meia esquerdo,England,Manchester City,28
Jeremy Doku,Meia direito,Belgium,Manchester City,21
Oscar Bobb,Meia direito,Norway,Manchester City,20
Erling Haaland,Centroavante,Norway,Manchester City,23
Julian Alvarez,Centroavante,Argentina,Manchester City,23
Aaron Ramsdale,Goleiro,England,Arsenal FC,25
David Raya,Goleiro,Spain,Arsenal FC,28
Karl Hein,Goleiro,Estonia,Arsenal FC,21
William Saliba,Zagueiro,France,Arsenal FC,22
Gabriel Magalhaes,Zagueiro,Brazil,Arsenal FC,25
Jurrien Timber,Zagueiro,Netherlands,Arsenal FC,22
Jakub Kiwior,Zagueiro,Poland,Arsenal FC,23
Oleksandr Zinchenko,Lateral esquerdo,Ukraine,Arsenal FC,26
Ben White,Lateral direito,England,Arsenal FC,26
Takehiro Tomiyasu,Lateral direito,Japan,Arsenal FC,24
Cedric Soares,Lateral direito,Portugal,Arsenal FC,32
Declan Rice,Volante,England,Arsenal FC,24
Thomas Partey,Volante,Ghana,Arsenal FC,30
Jorginho,Volante,Italy,Arsenal FC,31
Mohamed Elneny,Volante,Egypt,Arsenal FC,31
Martin Ødegaard,Meia atacante,Norway,Arsenal FC,24
Kai Havertz,Meia atacante,Germany,Arsenal FC,24
Emile Smith Rowe,Meia atacante,England,Arsenal FC,23
Fabio Vieira,Meia atacante,Portugal,Arsenal FC,23
Gabriel Martinelli,Meia esquerdo,Brazil,Arsenal FC,22
Leandro Trossard,Meia esquerdo,Belgium,Arsenal FC,28
Bukayo Saka,Meia direito,England,Arsenal FC,22
Reiss Nelson,Meia direito,England,Arsenal FC,23
Gabriel Jesus,Centroavante,Brazil,Arsenal FC,26
Eddie Nketiah,Centroavante,England,Arsenal FC,24
Alisson,Goleiro,Brazil,Liverpool FC,31
Caoimhin Kelleher,Goleiro,Ireland,Liverpool FC,24
Adrian,Goleiro,Spain,Liverpool FC,36
Ibrahima Konate,Zagueiro,France,Liverpool FC,24
Virgil van Dijk,Zagueiro,Netherlands,Liverpool FC,32
Joe Gomez,Zagueiro,England,Liverpool FC,26
Joel Matip,Zagueiro,Cameroon,Liverpool FC,32
Jarell Quansah,Zagueiro,England,Liverpool FC,20
Andrew Robertson,Lateral esquerdo,Scotland,Liverpool FC,29
Konstantinos Tsimikas,Lateral esquerdo,Greece,Liverpool FC,27
Trent Alexander-Arnold,Lateral direito,England,Liverpool FC,25
Conor Bradley,Lateral direito,Northern Ireland,Liverpool FC,20
Wataru Endo,Volante,Japan,Liverpool FC,30
Stefan Bajcetic,Volante,Spain,Liverpool FC,18
Dominik Szoboszlai,Meia,Hungary,Liverpool FC,22
Alexis Mac Allister,Meia,Argentina,Liverpool FC,24
Ryan Gravenberch,Meia,Netherlands,Liverpool FC,21
Curtis Jones,Meia,England,Liverpool FC,22
Thiago,Meia,Spain,Liverpool FC,32
Harvey Elliott,Meia atacante,England,Liverpool FC,20
Luis Diaz,Meia esquerdo,Colombia,Liverpool FC,26
Cody Gakpo,Meia esquerdo,Netherlands,Liverpool FC,24
Diogo Jota,Meia esquerdo,Portugal,Liverpool FC,26
Mohamed Salah,Meia direito,Egypt,Liverpool FC,31
Ben Doak,Meia direito,Scotland,Liverpool FC,17
Darwin Nunez,Centroavante,Uruguay,Liverpool FC,24
Andre Onana,Goleiro,Cameroon,Manchester United,27
Altay Bayındır,Goleiro,Turkey,Manchester United,25
Tom Heaton,Goleiro,England,Manchester United,37
Lisandro Martinez,Zagueiro,Argentina,Manchester United,25
Raphael Varane,Zagueiro,France,Manchester United,30
Harry Maguire,Zagueiro,England,Manchester United,30
Victor Lindelof,Zagueiro,Sweden,Manchester United,29
Jonny Evans,Zagueiro,Northern Ireland,Manchester United,35
Luke Shaw,Lateral esquerdo,England,Manchester United,28
Tyrell Malacia,Lateral esquerdo,Netherlands,Manchester United,24
Sergio Reguilon,Lateral esquerdo,Spain,Manchester United,26
Diogo Dalot,Lateral direito,Portugal,Manchester United,24
Aaron Wan-Bissaka,Lateral direito,England,Manchester United,25
Casemiro,Volante,Brazil,Manchester United,31
Sofyan Amrabat,Volante,Morocco,Manchester United,27
Scott McTominay,Volante,Scotland,Manchester United,26
Donny van de Beek,Meia,Netherlands,Manchester United,26
Kobbie Mainoo,Meia,England,Manchester United,18
Bruno Fernandes,Meia atacante,Portugal,Manchester United,29
Mason Mount,Meia atacante,England,Manchester United,24
Christian Eriksen,Meia atacante,Denmark,Manchester United,31
Hannibal,Meia atacante,Tunisia,Manchester United,20
Shola Shoretire,Meia atacante,England,Manchester United,19
Marcus Rashford,Meia esquerdo,England,Manchester United,25
Jadon Sancho,Meia esquerdo,England,Manchester United,23
Alejandro Garnacho,Meia esquerdo,Argentina,Manchester United,19
Antony,Meia direito,Brazil,Manchester United,23
Amad Diallo,Meia direito,Cote d'Ivoire,Manchester United,21
Facundo Pellistri,Meia direito,Uruguay,Manchester United,21
Rasmus Højlund,Centroavante,Denmark,Manchester United,20
Anthony Martial,Centroavante,France,Manchester United,27
Thibaut Courtois,Goleiro,Belgium,Real Madrid,31
Kepa Arrizabalaga,Goleiro,Spain,Real Madrid,29
Andriy Lunin,Goleiro,Ukraine,Real Madrid,24
Eder Militao,Zagueiro,Brazil,Real Madrid,25
David Alaba,Zagueiro,Austria,Real Madrid,31
Antonio Rudiger,Zagueiro,Germany,Real Madrid,30
Nacho Fernandez,Zagueiro,Spain,Real Madrid,33
Ferland Mendy,Lateral esquerdo,France,Real Madrid,28
Fran Garcia,Lateral esquerdo,Spain,Real Madrid,24
Daniel Carvajal,Lateral direito,Spain,Real Madrid,31
Lucas Vazquez,Lateral direito,Spain,Real Madrid,32
Aurelien Tchouameni,Volante,France,Real Madrid,23
Jude Bellingham,Meia,England,Real Madrid,20
Federico Valverde,Meia,Uruguay,Real Madrid,25
Eduardo Camavinga,Meia,France,Real Madrid,20
Toni Kroos,Meia,Germany,Real Madrid,33
Dani Ceballos,Meia,Spain,Real Madrid,27
Luka Modric,Meia,Croatia,Real Madrid,38
Brahim Diaz,Meia atacante,Spain,Real Madrid,24
Arda Guler,Meia atacante,Turkey,Real Madrid,18
Vinicius Junior,Meia esquerdo,Brazil,Real Madrid,23
Rodrygo,Meia direito,Brazil,Real Madrid,22
Joselu,Centroavante,Spain,Real Madrid,33
Marc-Andre ter Stegen,Goleiro,Germany,FC Barcelona,31
Inaki Pena,Goleiro,Spain,FC Barcelona,24
Ronald Araujo,Zagueiro,Uruguay,FC Barcelona,24
Jules Kounde,Zagueiro,France,FC Barcelona,24
Andreas Christensen,Zagueiro,Denmark,FC Barcelona,27
Inigo Martinez,Zagueiro,Spain,FC Barcelona,32
Alejandro Balde,Lateral esquerdo,Spain,FC Barcelona,20
Marcos Alonso,Lateral esquerdo,Spain,FC Barcelona,32
Joao Cancelo,Lateral direito,Portugal,FC Barcelona,29
Sergi Roberto,Lateral direito,Spain,FC Barcelona,31
Oriol Romeu,Volante,Spain,FC Barcelona,32
Pedri,Meia,Spain,FC Barcelona,20
Gavi,Meia,Spain,FC Barcelona,19
Frenkie de Jong,Meia,Netherlands,FC Barcelona,26
Ilkay Gundogan,Meia,Germany,FC Barcelona,32
Fermin Lopez,Meia,Spain,FC Barcelona,20
Joao Felix,Meia esquerdo,Portugal,FC Barcelona,23
Raphinha,Meia direito,Brazil,FC Barcelona,26
Lamine Yamal,Meia direito,Spain,FC Barcelona,16
Ferran Torres,Meia direito,Spain,FC Barcelona,23
Robert Lewandowski,Centroavante,Poland,FC Barcelona,35
Alex Remiro,Goleiro,Spain,Real Sociedad,28
Unai Marrero,Goleiro,Spain,Real Sociedad,22
Robin Le Normand,Zagueiro,Spain,Real Sociedad,26
Igor Zubeldia,Zagueiro,Spain,Real Sociedad,26
Aritz Elustondo,Zagueiro,Spain,Real Sociedad,29
Jon Pacheco,Zagueiro,Spain,Real Sociedad,22
Kieran Tierney,Lateral esquerdo,Scotland,Real Sociedad,26
